label,clean_tweet
0,saraha kay3jboni l aghani romance 3lik kter
2,البكاء سمت الرجال البكاء سلطة الضعفاء لكسب التعاطف انا لست بنكيران وانما الرجل الصالح الذي يفعل يقول يبكي النصر
1,المغرب فقمة الناتو لتسليح الجيش الأوكرانيالناطق الرسمي باسم الحكومة لـكود حل الصراع خصو يكون بالطرق السلمية والدبلوماسية وموقف المملكة الوحدة الترابية للدول
0,واااااااااااو طووووووووب ولاااد بلادي الله يحفضكم سعد التواااضع بنفسه
2,شاب شعرو شاب ريعان الشباب
2,rah ghalet ghalt f l3onwan yemchi y9elb fjiha khora
0,3ide mobarake sa3ide bi siha wa salama wa tawfi9e alfe mabrok li dahabia al 3alamia ahla horia
0,اودي كونما بنكيران والله سمعتي الاذان فدوزام الاخر
2,المغرب صايتي الاشباح صحاب البزولة البيجيدي
1,ضاعو دوك 41 مساكن
0,العدالة التنمية إن شاء الله ههههههههههههه
2,hadchi mnin katkoni kharja f zan9a rah katchofi ghalat dyalhom anahom 3acho hyathom 3adi wnsaw camera
0,شَر َّ يؤذينــا ظُلمَ يؤذينــا والحب للجميع
0,ربي يحفظك ان شاء الله
1,hadchi kayn ghi fel mghrib plutt ghi fel wydad
1,الاتحاد الاشتراكي دعم رحاب الحملات تعرضات وانتخبها مجددا فالمكتب السياسي
2,باركة علينا شوفو الناس وصلوا الامزيغي ممزوجش العربية واالعربي ممزوجش الامزغية ادوها ريوسكم وخدموا بلادكم
1,ال ناثيونال  المغرب طرد ناشطين صبليونيين كانو باغين يتلاقاو الانفصالية سلطانة خيا
2,صحفي مفقوس مسكين
2,hhhhhhhhhhhhhhhh dahk rafihouum omahassin biiih ila bghaw ihadro iba3do 3la moda whadro khenzethom akbar dalil hhhh
1,سيري تنعسي مايفيقو العصافير
2,chehad chi khesskum abssat haja dkhlo fiha btissam w dounia rah bnadam kayntahal chakhssya
2,oisala fi nihaya kariban 3ala hodod ikhoi algerer help me honak dolm hogra kam3 fakre intihak hokoki ana mohadad fi maghrib
2,رأيك يحترم  اتفق معكمادا سننتضر أدن العدالة التنمية إدا كانوا يحكمون؟ فليغادروا المشهد السياسي كانوا صادقين الشعب
1,الكَيرا فأوكرانيا روسيا كتهدد باستخدام السلاح النووي وزارة دفاعها  14 ألف تقتلو و16 ألف تجرحو الجيش الأوكراني
2,ستندم على هادا يا منير الحدادي صنع منك الاعب
0,هذا السيد حقق انجازات لم تحققها حكومة الحكومات السابقة
2,ن ترغب أن تلعب الأسود  الأسبقية المشاركة لمن له غيرة قتالية على بلده لمن شارك الاقصاءيات لانتهازي اختار للعب لبلد آخر
2,law kan maw9i3na 3elach rebhou bochoucha o khelaw salma rachid ach had lghaba2 lah yeseberkom mesaken
2,jib chi daif jdid bhal said nassiri oulla mohamed nassib likhrj bouzbal
1,awel haja galina tbib de khedma hya ke les fumeurs i9edo ichedu lvirus kter ikon kdeb 3lina  o 3awtani rah kan galiya tes depressive o khassk tchufi psy 9bal ma diri fe rassk chi haja
0,الثنائي كريم الأحمدي وسفيان أمرابط يتألق ويساهم الفوز والتأهل أمام ويليم كأس هولند
1,hnaya mgharba ohobna li ihab mitl hobna li hanan bas iza ab3adat 3an lmoharij ya nas mahbitouch fhmoni
1,wwrawni nchofo kifach 3rafto anaha tssajlat
1,b7al hadchii lli khasso yb9a yhat f hissabato machi sowar 3chwa2iyya
2,صحافة البؤس،داعمي العلمانية النجسة ،افكار البام العفنة
2,دخل الحكومة بشعارات التغيير لكنهم أفسد شيء حان وقت الرحيل المغادرة
1,3andi 4ir sawlt 9aloli momkin nsawt bnfs l2imayl fga3 lfi2at sa3a mara kayt9bl mara la glt ila 3andk chi 7al
0,جوهر عموم الناس المعاملات
1,ehab makhabch souhyla hit hya ghir katbaha bih
1,men bab terche hiya ta3ni chi kiv li gelt ane
1,pliz akhti khasna kamlin nkhdmo 3la had hachtag f maslhat hanan
2,شاء شاء وآبى آبى
1,الأسعار الگرون فكولشي وزير التجهيز مواد البني تزادت تكاليف النقل
1,أزمة أساتذة الكونطرا بنموسى حققنا المطالب وآخرها الانخراط فالcmr وعبرنا ديال المرات على استعدادنا لفتح نقاش صريح
1,khes ykoun 3ndk dakchi dyal n7as bech tvalidi dif b 11 ou nta kan 3ndek 225 f controle
0,good luck for ur concert tonight hbib dyalnaakid 7atewlaa3habas kanet 7atewla3 aktar law kunt ana mawgouda
0,اختي ليلى الله ينجحك يسهل ماصعاب قولي الموضوع العام عطاوكوم فمباراة المالية الله يرحم الوالدين هاهي نمرتي فالواتساب
2,chi wehdin ybano ghi f chofo m3ana had lmo9abala min jito jito beda 3awno m3a f teswiit wela tedkhlo ghi 3la hsab lmeslaha
0,انرتي نجمتي
1,مسؤولين كبار فالشرطة الإسبانية والحرس المدني  دعم الحكومة لمبادرة الحكم الذاتي ساهم بالزربة فحل الملفات الأمنية العالقة
1,ach daret 3awod mbc hhhhhhhh daba nedkhol d cava azin kander tlila hna wlhih d belya khayba
2,اله الله الله ارحم التلميذ شادي واصبر ميمتو مات ماعمرو إتعوض وخا عطاوك مال دنيا كلها إنا لله وإنا إليه راجعون
2,اجد الشغل الكرامة الحرية و حينها ا فكر الصحراءهدا الامر يهمني اطلاقاو شكر
2,اتمنى صادقا ان ارى صور هذا الشخص على هذا المنبر كفى معاناة
2,أرفض رفضا مطلقا مشاركة هذا اللاعب ضمن المنتخب المغربي
0,قدوتي رسولى سيدنا محمد السلام اللهم صل وسلم وبارك عليه
1,j pense dakchi d charikat mohal tjawb 3lih nsswlo 3la hafalatha o aham haja tour o fo9ach ghada l uae
1,تنزيل الحماية والقطع التخلويض فبناء السبيطارات ايت الطالب رسلنا وصيات مجلس العدوي لجميع المسؤولين وخصصنا كثر 6 للصيانة وتجديد التجهيزات
0,المشكلة تاواحد محسن شفارة بنكيران فايتهم بحاجة وحدة تايتهلا فيريوس لكبيييرة على ضهر المسكين باش زين
2,كنا متعاطفون معكم أما الأن سوف أكون أكبر معارض لكم بعتو الزعيم ابن كيران
1,نزار بركة كعا على البرلمانيين كينتقدو الحكومة وبرلماني لـكود نسكتو والشعب واكل الدق
2,الصيادة تهمهم مصلحتهم فقط حولة إلا بالله
1,tfarji fl vedio walaw ghir mara bach tfahmi ach kayn wana manhmalch chi had ana ba3da manchofoch aslan machi ntab3o n3ayar fih
2,حرق حتة قماشة عنف رعب ؟ الاحتلال قتل الاطفال الشباب اعتقالهم سو كيوت
2,رجعة دون المستوى وأي فريق سوف يتعاقد هذا الفاشل سيكون القسم التاني
0,الصحراء المغربية بكل متحمل الكلمة دائماا المغرب حتى يرث الله الأرض عليها
1,dkhlo hna chufo chnu tari
1,lli bgha yechri taykhaless hadik jou9a dyal les labels
0,امتحان الله سبحانه وتعالى لاختبار قدرتك على الصبر ان الله سبحانه وتعالى يجزي المؤمنين بما صبروا الله يقويك الله يقويك يارب
1,chofi homa fach ghadi i7a9o hadak achi li bghaw maghadich tb9ay tchofihim fi ta9 ta3 ihab
1,hadi li khassha wissam machi dounia batma
2,استمعت لخطاب بنكيران وصل المضمون قام بإصلاحات جوهرية ظاهرة للمواطن الحقيقة الناس خدامين أحزاب أخرى وكيقولو سنصوت للعدالة
2,ra hiya a hbiba li dart lih wahad l9alba khayba
0,نبيلة منيب املنا
2,sa7afa d l9lawi qui partage la video des enfants avant dakchi li w93 a bouzni9a
1,a ghir mwensahoum wellah w brasserie la cigale in casablanca grand casablanca
2,chi nas kihdro m3ak ghir ala wed ewa kayn chi titiz kayn chi kayn chi wa siro 3tiwni bti9ar afak
1,مبعوث الأمم المتحدة للصحرا ندير جولة إقليمية بالمنطقة
1,قيادة العدالة والتنمية هاجمات الحكومة برنامج فرصة 23 المال العام مشات للإشهار والمؤثرين سبابو ضعف تواصل الوزرا
1,wayeeh serbia 9rit kano ki9tlo les muslims hhhhhhhhh mais daba mab9awch o lah o3lem
0,la faon bach kayflowi fih dik lfr7a dial lah wa akhiran l9it la rime
1,raki f chahal mabantich wla rani ghalta
1,بوعياش الابتزاز الجنسي جرائم الاتجار فالبشر ونسبة الاستغلال الجنسي وصلات لـ50 فالمية مجموع هاد الجرائم عالميا ف2020
2,أين الحكومة أين المؤسسات الاجتماعية أين الجمعيات التي أصبحت تسترزق على أبناء الشعب بدون تقديم شيء
0,عموته أحسن مدرب مغربي
1,dok rimat li kaylo7 ljassous fkroni f dak dessert w lkhdra li kayb9aw f l3chia dial sou9
0,شكرا أخي الخبر تم نشره اليوم
2,والاقتطاعات اجور الموظفين البسطاء منحة البرلمانيين لانتهاء العهدة
0,sbah lkhir bety kent kanftar sbah ou tfakartek mazal kantssna f follow dyalek ghadi nktb lik kl nhar
0,خسارة رئاسة الحكومة خسارة الامانة العامة للحزب، نعلن رسميا مرحلة بن كيران السيئة
2,lllah akbar kabira wallah ajmale khabar sam3to fa hayati ana3lato llah 3la dalime
2,شهداء حساب حسبنا الله ونعم الوكيل
0,ya3tih l3az hit rajal jazayri 9ohh hada howa hna natmanaw yji 3andna n3amlo lih sti9bal wa3ar
2,الزاكي بن شيخ الجزائري نفس العقلية
1,جديد قضية تبديد فلوس عمومية اللي كيتحقق 8 أشخاص بينهم مسؤولين وأطر أمنية كَاع المتهمين هبطو للحبس
1,تقرير  الجيش المغربي كيفاوض شركات عالمية باش يشري مدرعات عسكرية متطورة
1,ضربة خايبة لمرشحة اليمين المتطرف تزامنا الانتخابات الرئاسية ففرنسا المكتب الأوروبي لمكافحة الاحتيال مارين لوبان فايت هرفات على 600 ألف أورو
1,ضربات الدبلوماسية المغربية زلزال فعدد مناصب المسؤولية فالدزاير جراو على 16 مسؤول فالخارجية ولونصاو حركة تعيينات جديدة
2,nas dial jihawi ra ha kadbin elina daro lina labe9 zeema jam3in lwra9 bash il9aw bash ichwiw ryossa nhar l3id
1,trans almou nta w zhrak t9dar tti7 f wa7d jdid 7ssan mn ctm c o t9dar tti7 f wa7d kfass mn trans kam 7ni9za
2,nta machi m3ana 7na lghlade ga3
0,مجرد نادي
0,كنشوف ديال التعاليق ان مزال الناس فيهم الخيررا اكتريا ديال المغاربة فيهم الخير وباقي الخير
1,z3ma chkoun li baghi yt3lm l arabe
0,انسانية محبة وسم وعيش مشترك لجميع
1,hdana hhhhhhhh wa mn chhal hadi chi 5 ans
0,mabrouk 3 l clip samo helo ktir
2,شخصيا ارى منظر خلاب يظهر قلة التنظيم عشوائية المكان اناس همهم الربح الجودة النظافة خبر كان بعض الثلوج التراب منطقة منكوبة
2,ana makanchouf hta 3enza hit bloc howa ssilahi oila derto bhali ghathenaaw
2,رحم الله الفنان العبقري الراحل عبـد الحــليم حافظ الذي قل نظيره زمن الرداءة والتسيب المقصود والممنهج وطننا لاكلمات لالحن يشفيان غليل ذوقنا اليتيم، فاقد الشيئ لايعطيه
0,كلام عظيم
0,الصوت الجميل
0,الحمد لله الذي اغاثنا على قدر بنيتنا التحتية
2,ah 3lach mafkhbarkch rah ta3i rah a9ad a3dara man andar goliha tjarab tji bach ntlagaw liha had bab lmatar blhrawat hawajhi ok
1,l2oghnia dyal chawki w souka m3ahom fiha two tone wa9ila p hadchi li ban lia w lah a3lam
1,قيادة جديدة لـالبام فالحي الحسني فكازا
1,أحداث دورة 7 فبراير فجماعة فاس القضاء كيساين جواب دفاع العمدة البقالي الحسم فهاد الضوصي
0,سياسية الدرجة الاولى
2,اوا سيرو تخدموا راكوم كتحيدو الدم لعباد الله فالعام والخاص ماكاتحشموش
1,chno logiciel li katkhedmi bih bghit ta ana ndir tasamim
0,الشيخ ياسين عاش رجلا نزيها فاضلا زاهدا مستقيما ومات على ذلك أهل للاقتداء،
2,ماكان ترامب ليأخذ هذا القرار الضوء الاخضر بعض حكام العرب وخاصة محمود عباس والمحيطين به وبذلك يكون عرى عوراتهم
1,ou wahed lhaja omggg daba ana je parle pas souvent a aym ou hua kan baghi iakhed dftari while knt kan3red l9or2an ou ou 3iyet
0,العدالة التنمية إنشاء لله
1,ychedha lik ywsaa lik said
1,hhhhhhhh haja limatchbeh molaha hraaam hhhhhh iwa khassna ghir nberdo bhal ibtissam
2,البرنامج ديال الحكومة المقبلة مسطر  ماجدوى الانتخابات اذا ؟؟؟؟
0,dakchi dyal khfif drif p
2,where are those kanchofo ghir 9a3 d tanjra hnaya w 3ad zaydinha benefkha
1,ghir ntssadro rej3o emails lisaybna nssawto bihom i f face bdina hamla kanhelo les emails
1,nsite a samira lbare7 kente f paris 3nd jada w rada ranmchi l souide w f ljomo3a r nmchi l ksa nzidek wla brak
1,avec la canicule rah lwahed tay doub
0,allah ywaf9ak wysahal 3lik ya rab
1,وصول وزير خارجية الصبليون للمغرب افتتاح قنصليات فالداخلة لدول امريكا الجنوبية وافريقية
0,ihaaab nta tstaleel la9ab o nta charaftii l maghreeb tkp pas hna mftakhriin biiik wlah ila raak charaf l mdint asefi kan7ma9 3lik
0,كلنا بنكيران وكلنا معك
2,daba nti mghribya bezaf 3lik akhti tgouliha wakha bdehk o had lmra bagha tm3ch9i f habib l9alb diriha mais b3id 3la hanane ok
1,bb sawti m3ana hna plz hahya tari9a
0,نبيلة منيب لبيدها الحل photo
0,قلبي دليلي وقلبي عليكم إنّدل
0,فخر بلادي مبروك يا ابو مكه تستحقها باكتساح منافس لك فخر مصر والعرب بنحبك بجد ربنا يوفقك
2,الفضائح بالجملة وبالعملة الصعبة المجالات
1,إل باييس  الشركات جزر الكناري خايفة تنافسية الشركات المغربية
2,الخزي والعار لهاته الحكومة التي تغلط العالم والمغاربة عبر تضليل الرأي العام بإنجازات وهمية والشعب يعيش تحتت عتتبة الفقر
2,mskin o hwa mnin 9aliha bla terbaya bla akhla9 mslahjya ananya matjrhatch ach ngoulikom lah y3tikom l3z ama dl rakom fih
0,eih sabab l9araratmana tkoun a7walik bikheeromatkonch haja khayba hiya li 2adit li ha l9arar
1,tfo kon ghir knt lpharamacie 7ala dak nhar
1,عائلة بنصالح ستحودات على مصرف المغرب شراتو الفرانسيس
1,7ta ntl3 l tanger w njibalk
0,charaff liya khtii abi ikhalikk
0,انا أحب دين الأسلام وأستمع للعلماء المسلمون
2,نطلب لك التوفيق والنجاح الله الشيء الذي نفهمه لماذا الدولة تهتم بشؤون أصحاب الاحتياجات الخاصة النقل ودخل شهري يحفظ لهم كرامتهم ويعوض لهم مكانتهم وحقهم هذا الوطن
2,ذنوب المتقاعدين اللي حق ظلما وعدوانا لن نسامحك
1,sadmati f anis aktar min wasim lboldan kolha mtahda ela lmghreb l3arabi
1,en plus hna ma3ndna ta haja dad chi hd kolhum mgharba btissam chj3naha o ba9in m3aha o lokhrin lah y3awnhum twfi9
0,merci habibti lea wallah mafi menak kelek akhla9 wtiba mabtinsa hada batmanalek kel najah bmot fik ana
1,البسيج دوزو شخص للوكيل العام فسطات كيشري المسروقات ديال عصابة الكيلو اللي رونوها شفرة وكانو قتلو تاجر فحد السوالم ف2015
1,hbiba achno kalimat oghniya bghit nssma3 lihaa
0,هنيئا لكم يا شعب المغرب الحبيب بالفنان الرائع سعد لمجرد
2,اللاعب مُقيد لائحة الأساسية للفريق
1,non matkatbo lih walo aslan howa ma3arf walo w rah rj3at lih follow bla matkbroha
0,hbiban caad cv 3lik db librak trnii fa3rsooo chno ydiir blizz jwb ila kan 3ndak chi wa9ttt
1,plz matdwiha 7ta f chi wa7d ila mtaf9in khliwna n3awno wakha hi bretwet
2,ولو فاز البيجدي فلن يستطيع تشكيل حكومة منسجمة وسيتم حجب الثقة عنها
1,فاش كنا كنخرجو
2,حقيقة لهذا أطالب نطالب محاربة هذا الفكر بالإقتصاد الدين الإعلام
0,مبررروك يانجم النجوم المغرب الأول العالمي الدوزي يارب نجاح لنجاح
2,والله واخا تبكيهم دم يا اكبر اناني ومتعنت ومتعجرف عرفته حكومة المغرب
2,يا بني لقد فاتك القطار كونا منتخب بدونك وحتي وإن انهزم فلا بأس
2,دولة اللصوص ملايير تنفق تشجييع الفساد حسابكم الله
2,iwa siri hta tsam3ih mzyan rah 3douya li kayhdar ou yhkam bla mayssma3 ok
1,wach katntadri mna nssaf9ou liik chej3iha f tissaaaa3 madam baghana n3tiwk tissaaaaaaaaaaaaaaa3
1,نفاق الشيخ عويطة نشط انطلاقة فرصة آراء متطرفة مؤسسات الدولة واتهم وزارة الأوقاف بخدمة البام فالانتخابات وسب الاحرار وشكك فقدرات الاجهزة الأمنية وشبه اخنوش بالسيسي ودافع على تركيا بلادو
0,أصدق سياسي مغربي مر على الحكومات المتعاقبة
2,الخبيثات للخبيثين
1,روشيرشي الأنتربول سالت عيا وطاح فالمغرب
1,ghada l bety o katwassi fiyaa gheda ghanfay9k bekriisa3a m3amn hhh
0,نحن شباب مغاربة الغربة متعاطفين حزب العدالة التنمية كلنا أمام التلفاز ننتضر بشوق هدا اللقاء التلفزيوني وفقك الله دولة الرئيس
1,aaah eraft lghunia mais makan3rafshi bli hada l3unwan diala
2,أطلب العلي القدير أن ينتقم هؤلاء الناس المسؤولين الدنيا الاخرة الاخرة فلا مناص منها العلي القدير
1,aw safi khali hada daba taf9o 3la hada li ktabti
1,hada lidar hadchi ollah ta ghayt3deb f l9br hhhhh
2,wlah ya babaha wojat nlemaghrib ya7ta ndiroliha 3aha mosetadima bach nweriwha mgharba chkaysewaw
1,الأو سي بي جنبات المغرب تعديل قانون المالية وعتقات ميزانية الدولة وضخات 81 فالخزينة
1,awal soal kanjawb 3lih khatae o marbaht ta no9taaa hhh
2,حديقة حيوانات ولازال هنالك اناس يؤمنون بنظرية التطو
1,الدق فالبوليس متواصل حموشي على اللي كيفرطو فتطبيق القانون فالسربيس توقيف مفتش شرطة ممتاز والتحقيق أمنيين وها علاش
1,لجنة العدل والتشريع مدافعة على الحريات الفردية خاص تعزيزها وحمايتها باش يكون مناخ الثقة
1,ألباريس كنارياس غيكون عندها ممثل فمفاوضات ترسيم الحدود البحرية المغرب
0,يا لروعه كلامك لك تحياتي اتمنى ان يأخذوا كلامك عبر للحياة للسير نحو
1,أجندة وزير خارجية مريكان جاي للمغرب وغادي يتلقا محمد بنزايد ويدوز للجزائر
1,ratb9a dima mghribya hadi 9adyat hayat aw mawt bnssba lmgharba
1,خليهن منسق مجموعة السي دي تي فمجلس المستشارين لـكَود الأغلبية الحكومية ماقدراتش على تجيري هاد المرحلة وكاينة فتدبير ملف التعليم
2,yemkan ma baghachi sol7 ana hdartlek 3la hadok li ma3andomchi prbl o ana ma3andich mochkil m3a ihab 3andi m3a hadok li
1,جايبها لاس بالماس الديوانة حجزات أكثر 3000 قرقوبية مسافر فمطار العيون  تصاور
2,بغيتوهم يبداو يتكرفسو على العادي والبادي تبقاو أنتما على خاطر خاطركم
0,asgass ambarki awltma koul 3am w nti b alff 5ir inchaallah
2,كولشي على الاعلام الي كيصور اوروبا الافلام على انها
2,الفقراء يموتون وسائل النقلتريبورتورالحافلات المتلاشيةاصبح الناس يركبون بسطوح الحافلاتايامكم كحلة زحلة
2,monkar ntouma li dartouh ya wjah lwil li kathadro f sahra li aslan ma3roufa maghribiya w mali nchart had tweet ya3ni m3tarfa bh
2,غش غش مغشوش بديت نشك الي حد المغرب كيخدم بنزاهة وضمير كنضن قليل الي رحم ربي
1,oui zayan boys ola chi haja bhal haka
1,بينتر وصلات لفاس خط جديد كنارياس للعاصمة العلمية
1,machi tbe3d niit hit houa li baghi liha lkhir tema mais dir lhodod safi
1,خاصة بالعمرة الفريق الحركي كيطالب وزير النقل باش يزيد رحلات جوية أخرى للسعودية
2,ana ghaaaaa tan3awnk o sf and low key baghaha fihom devil mskin 3ya
1,روسيا فطريقها لتغيير مواقفها قضية الصحرا وتجي فالصف ديال المغرب
1,wala ihamk ghir khalihoum mnhoum llah
1,chty chwa93 f tanger p
0,cho ra2yk b btisam tiskat bbidayat michwarha et merci
1,walakin lamap kaykoun dima m3tlin
1,القضية اللي فرشاتها كود اللي متهم بالنصب على المتبرعين الدكتور التازي ومراتو 8 ضحكو على محسنين وعلى الضمان الاجتماعي
0,raw3a ana mn lbarh o ana kantfarj fi lvedio wwawww yarit ighanihom fi lpraim
0,إن شاء الله وبالتوفيق له حيث استاهل
0,لأنـنا نــعيش ترابها  سنـــــحترم قائدها
0,zwina bzefana smi3taha min 9ablaslan b7ib do3aawi l oghniya lay2a 3la chakhsiyitha kteerbravo
0,hhh wach kayhdar 3la bloque awili maymknchh akhayy ndirha lik ila ana nta rak 3ziz
0,وانت احلا سعد واقوى سعد رغم الضروف رغم الحاقدييين
1,amina hhh benisba les j aimes mashi 3lik ntii hh 3la meriemm mai 3lax saybty liha l twitter
1,nihad goli l betty rah salah dayarlha follow
1,hahahah tahowa ghadi idir booom
0,أحسنت قولا، وهذا كلام الانسان المثقف الواعي الحر، وليس سيصوت للعدالة والتنمية فقط لأن البام ضدهم، هذا الغباء بعينه
0,salam kidayrin alhbab lyouma sehd oul3jaj f agadir bnisba lohkm 3la aljamila jihan howa anaha dir zif oumtaakd 100 ghayji m3aha
2,مسجد الشعب المغربي المقهور
1,sbania hbto liha srwal ya chwakr dat lgaz batle ntoma khlsto le gazoduc maghreb europe o 7na khdinah batl o sbania raha tsift fl gaz dyalkom lina t9t3o fl9alb doubaba sir fais la queue bach tchri l7lib ila b9iti m9ablni ghadi tsawr ghi les cokhones
1,خاص تفاصيل جديدة لـضربة معلم فقطاع الصحة البوليس جبدو ملفات المخلوضين فالمال العام بوزارة الصحة شكاية حطها ايت الطالب فـ2019 ومصدر لـكود الوزير عجباتو الخدمة الفرقة الوطنية
0,وفقكم الله لما الخير للبلاد العباد
1,svp imkan n3arfo mnak imta ghadouz had l7al9a
2,كفىمنالعبث
1,gheda ghadi nrkeb talfaza dakiya jdida lt3
0,انسان كلمة تعرفة وش صادق و كداب بنكيران كيبن صادق يتكلم بدون مراوغة
1,أكثر ديال السدان التلفزيون الإسباني الرسمي التاريخ اللي تفتح الحدود الناظور ومليلية
0,غريبا الاخوان الاردن وابطالها
2,المغرب ضاع أمل للشباب لامكان للطموح
