tweet,label
rfa3ti rasna w rfa3ti rayat bladna lah yhfdek wykhalik lina jtm ♥♥,0
لكن للأسف الشديد الرشوة استفحلت في مجتمعنا وأصبحت شيئا عاديا',2
"منذ بداية الولاية الحكومية. 8475 منصب شغل مباشر وغير مباشر جديد خرج للوجود.. أخنوش: خاص الحرص على الفعالية فدراسة المشاريع اللي كتدوز فلجنة الاستثمارات,",1
9li lya 9alti chi bnat rayemchiw 3and btissam chno daro,1
ماشي شوف تلفزة هاذ القناة الجاهلة الرذيءة أنصح كل للأحرار والحرائر من شطبها والله الغني',2
"وزيرة الانتقال الطاقي: مكنشريوش الغاز من اسبانيا وها شنو تافقنا معها.. وكنوجدو صفقات مع دول صديقة منها قطر باش نستوردو الغاز الطبيعي,",1
يالمذلولا الذل لي راكم عايشين فيه يكفيكم وزيادة اصبحتم أضحوكة العالم',2
سامسونج هيا التوب ها الاس 6 عندي و شحال من مرة طاح و مزال خدام السلعة د الشينوا منشريهاش و تبقى غا هي',0
الله أكبر القدس عاصمة فلسطين الأبدية و لقد فتحتم أبواب جهنم عليكم يا يهود',2
الله يكرمك ويرضي عنك',0
mezyana fihoum wakha mbs dine 🐕,2
نتمنى له كل النجاح والتوفيق.....للانه مدرب كبير....وان الزاكي كان يضلم ويتدخل في اختيارته....هدا مايعكر صفو كل المدربين الكبار في اللعبة',0
اجمل وارجل واشيك شعب فى العالم شعب الشجعان بنت ارجل من العالم العربى كله',0
yalah kan9ob fin ntfrj,1
من ينتقد بن كران هم خصوم معارضة لى خاصها هي سلطة لا تهتم لوضعية مواطن,2
hhhhhhhhhhhhhhhhh matjawboch hada rah la9itt mne douk dzarin li ness ness lay3fo rah chb3o fih m3yor odb ja andna,2
شكرا اورونج فالا نترنيت تصل الينا حتى البوادي وان لم اقل الجبال فاورنج انهت عزلتنا شكرا مرة اخرى عيد ميلاد سعيد مع المزيد والحرص على العمل ',0
wa ri sokti koun chi ana koun chti hadik charfa dyalma3art ach smit tasiltha bahdloha lah ybahdlhom tba3ab lblaa,2
كتحمقني والله زويييونة تبركاالله عليك',0
hhhhhhhhhhhhh safe fda7ti l moufaj2a d momo et hatim,1
صوتك زوين لكن أظنك تحتاجين ان تمرني صوتك اكثر و حولي ان تضفي طابعك الخاص في اي اغنية على كل صوتك جميل و انت جميلة اتمنى لك التوفيق والنجاح',0
chad lil tfkr f hyatk,1
"العدل والإحسان طالقا السلوگية فرمضان وهضرات على عشرات المعتقلين بسبب منع نشاط طلابي على التطبيع.. والبوليس: مكاين لا تعنيف ولا اعتقالات,",1
saraha kay3jboni l aghani romance 3lik kter,0
البكاء ليس سمت الرجال ..البكاء سلطة الضعفاء لكسب التعاطف ..انا لست ضد بنكيران وانما الرجل الصالح هو الذي يفعل ما يقول ولا يبكي الا عند النصر,2
"المغرب فقمة مع الناتو لتسليح الجيش الأوكراني..الناطق الرسمي باسم الحكومة لـ”كود”: حل الصراع خصو يكون بالطرق السلمية والدبلوماسية وموقف المملكة مع الوحدة الترابية للدول,",1
واااااااااااو طووووووووب ولاااد بلادي الله يحفضكم سعد انت التواااضع بنفسه ',0
شاب شعرو شاب في ريعان الشباب ',2
rah ghalet ghalt f l3onwan yemchi y9elb fjiha khora,2
3ide mobarake sa3ide bi siha wa salama wa tawfi9e alfe mabrok li dahabia al 3alamia ahla horia,0
اودي كونما بنكيران والله لا سمعتي الاذان فدوزام هو الاخر,0
دابا في المغرب كاين غير صايتي و الاشباح و صحاب البزولة و البيجيدي ',2
ضاعو دوك 41 مساكن😂😂,1
العدالة و التنمية إن شاء الله. ههههههههههههه,0
hadchi mnin katkoni kharja f zan9a rah katchofi ghalat dyalhom anahom 3acho hyathom 3adi wnsaw camera,2
لا شَر َّ يؤذينــا لا ظُلمَ يؤذينــا والحب للجميع',0
ربي يحفظك ان شاء الله',0
hadchi kayn ghi fel mghrib plutôt ghi fel wydad,1
"الاتحاد الاشتراكي دعم رحاب ضد الحملات لي تعرضات ليها وانتخبها مجددا فالمكتب السياسي,",1
باركة علينا بزاف شوفو الناس فين وصلوا واش الامزيغي ممزوجش من العربية واالعربي ممزوجش من الامزغية ادوها في ريوسكم وخدموا بلادكم ',2
"“ال ناثيونال” : المغرب طرد ناشطين صبليونيين كانو باغين يتلاقاو مع الانفصالية سلطانة خيا,",1
صحفي مفقوس مسكين',2
hhhhhhhhhhhhhhhh dahk rafihouum omahassin biiih ila bghaw ihadro iba3do 3la moda whadro khenzethom akbar dalil hhhh,2
سيري تنعسي قبل مايفيقو العصافير 🐦🐦,1
chehad chi khesskum abssat haja dkhlo fiha btissam w dounia rah bnadam kayntahal chakhssya,2
oisala fi nihaya kariban 3ala hodod ikhoi algerer help me honak dolm hogra kam3 fakre intihak hokoki ana mohadad fi maghrib,2
رأيك يحترم لكن أنا ﻻ اتفق معك.مادا سننتضر أدن من العدالة و التنمية إدا كانوا لا يحكمون؟ فليغادروا المشهد السياسي ادا كانوا صادقين مع الشعب.,2
"الكَيرا فأوكرانيا.. روسيا كتهدد باستخدام السلاح النووي و وزارة دفاعها : 14 ألف تقتلو و16 ألف تجرحو من الجيش الأوكراني,",1
ستندم على هادا يا منير الحدادي . من صنع منك الاعب',2
هذا السيد حقق انجازات لم تحققها اي حكومة من الحكومات السابقة,0
ن لا ترغب أن تلعب مع الأسود ! الأسبقية و المشاركة لمن له غيرة و قتالية على بلده و لمن شارك في الاقصاءيات و ليس لانتهازي اختار للعب لبلد آخر !!',2
law kan maw9i3na 3elach rebhou bochoucha o khelaw salma rachid ach had lghaba2 lah yeseberkom mesaken,2
jib chi daif jdid bhal said nassiri oulla mohamed nassib likhrj bouzbal,2
awel haja galina tbib de khedma hya ke les fumeurs i9edo ichedu lvirus kter ikon kdeb 3lina 🤔🤔 o 3awtani rah kan galiya tes depressive o khassk tchufi psy 9bal ma diri fe rassk chi haja 🤷‍♀️🤷‍♀️🤷‍♀️,1
الثنائي كريم الأحمدي وسفيان أمرابط يتألق ويساهم في الفوز والتأهل أمام ويليم في كأس هولند',0
hnaya mgharba ohobna li ihab mitl hobna li hanan bas iza ab3adat 3an lmoharij ya nas mahbitouch fhmoni,1
wwrawni nchofo kifach 3rafto anaha tssajlat,1
b7al hadchii lli khasso yb9a yhat f hissabato machi sowar 3chwa2iyya,1
صحافة البؤس،داعمي العلمانية النجسة ،افكار البام العفنة.,2
دخل الحكومة بشعارات التغيير لكنهم أفسد كل شيء حان وقت الرحيل و المغادرة,2
3andi 4ir sawlt 9aloli momkin nsawt bnfs l2imayl fga3 lfi2at sa3a mara kayt9bl mara la glt ila 3andk chi 7al,1
جوهر عموم الناس في المعاملات',0
ehab makhabch souhyla hit hya ghir katbaha bih,1
men bab terche hiya ta3ni chi kiv li gelt ane 😉😅,1
pliz akhti khasna kamlin nkhdmo 3la had hachtag f maslhat hanan,1
شاء من شاء وآبى من آبى ..',2
"الأسعار دايرا الگرون فكولشي.. وزير التجهيز: مواد البني تزادت بزاف بسبب تكاليف النقل,",1
"أزمة “أساتذة الكونطرا”.. بنموسى: حققنا ليهم عدد من المطالب وآخرها الانخراط فال”CMR” وعبرنا ليهم بزاف ديال المرات على استعدادنا لفتح نقاش صريح,",1
khes ykoun 3ndk dakchi dyal n7as bech tvalidi dif b 11 ou nta kan 3ndek 225 f controle,1
good luck for ur concert tonight hbib dyalna🙏akid 7atewlaa3ha🔥bas kanet 7atewla3 aktar law kunt ana mawgouda😔💛,0
اختي ليلى الله ينجحك و يسهل عليك كل ماصعاب قولي لي الموضوع العام لي عطاوكوم فمباراة المالية الله يرحم الوالدين هاهي نمرتي فالواتساب ',0
chi wehdin ybano ghi f chofo m3ana had lmo9abala min jito jito beda 3awno m3a f teswiit wela tedkhlo ghi 3la hsab lmeslaha,2
انرتي نجمتي',0
"مسؤولين كبار فالشرطة الإسبانية والحرس المدني : دعم الحكومة لمبادرة الحكم الذاتي ساهم بالزربة فحل الملفات الأمنية العالقة,",1
ach daret 3awod mbc hhhhhhhh daba nedkhol d cava azin kander tlila hna wlhih d belya khayba,1
لا اله الا الله. الله ارحم التلميذ شادي . واصبر ميمتو . لي مات ماعمرو إتعوض وخا عطاوك مال دنيا كلها . إنا لله وإنا إليه راجعون .',2
حتى اجد الشغل و الكرامة و الحرية و...... حينها ا فكر في الصحراء.هدا الامر لا يهمني اطلاقا.و شكر',2
اتمنى صادقا ان لا ارى بعد اليوم صور هذا الشخص على هذا المنبر .كفى معاناة',2
أرفض رفضا مطلقا مشاركة هذا اللاعب ضمن المنتخب المغربي',2
قدوتي رسولى سيدنا محمد عليه السلام اللهم صل وسلم وبارك عليه',0
j pense dakchi d charikat mohal tjawb 3lih nsswlo 3la hafalatha o aham haja tour o fo9ach ghada l uae,1
"تنزيل الحماية والقطع مع التخلويض فبناء السبيطارات.. ايت الطالب: رسلنا وصيات مجلس العدوي لجميع المسؤولين وخصصنا كثر من 6 مليار درهم للصيانة وتجديد التجهيزات,",1
المشكلة تاواحد محسن من واحد كلهم شفارة بنكيران فايتهم بحاجة وحدة تايتهلا فيريوس لكبيييرة على ضهر المسكين هادشي باش هو زين,0
كنا متعاطفون معكم أما الأن سوف أكون أكبر معارض لكم بعتو الزعيم ابن كيران',2
"نزار بركة كعا على البرلمانيين لي كينتقدو الحكومة.. وبرلماني لـ”كود”: مايمكنش نسكتو والشعب واكل الدق,",1
الصيادة لا تهمهم سوى مصلحتهم فقط لا حولة ولا قوة إلا بالله ',2
tfarji fl vedio walaw ghir mara bach tfahmi ach kayn wana manhmalch chi had ana ba3da manchofoch aslan machi ntab3o n3ayar fih,1
حرق حتة قماشة عنف و رعب ؟! لكن الاحتلال و قتل الاطفال و الشباب و اعتقالهم سو كيوت ',2
سير بلا رجعة. دون المستوى وأي فريق سوف يتعاقد مع هذا الفاشل سيكون في القسم التاني.',2
الصحراء المغربية بكل متحمل الكلمة دائماا المغرب #حتى يرث الله الأرض ومن عليها',0
dkhlo hna chufo chnu tari,1
lli bgha yechri taykhaless hadik jou9a dyal les labels,1
امتحان من عند الله سبحانه وتعالى لاختبار قدرتك على الصبر ان الله سبحانه وتعالى يجزي المؤمنين بما صبروا الله يقويك الله يقويك يارب',0
chofi homa fach ghadi i7a9o hadak achi li bghaw maghadich tb9ay tchofihim fi ta9 ta3 ihab,1
hadi li khassha wissam machi dounia batma,1
استمعت لخطاب بنكيران وصل المضمون قام بإصلاحات جوهرية غير ظاهرة للمواطن  في الحقيقة الناس خدامين مع أحزاب أخرى وكيقولو سنصوت للعدالة,2
ra hiya a hbiba li dart lih wahad l9alba khayba,2
نبيلة منيب املنا,0
sa7afa d l9lawi qui partage la video des enfants avant dakchi li w93 a bouzni9a,2
a ghir mwensahoum wellah 😂😭😂😭 w brasserie la cigale in casablanca grand casablanca,1
chi nas kihdro m3ak ghir ala wed ewa kayn chi titiz kayn chi kayn chi wa siro 3tiwni bti9ar afak,2
"مبعوث الأمم المتحدة للصحرا: غادي ندير جولة إقليمية بالمنطقة,",1
"قيادة العدالة والتنمية هاجمات الحكومة بسباب برنامج “فرصة”: 2.3 مليار سنتيم من المال العام مشات للإشهار والمؤثرين وهادشي سبابو ضعف تواصل الوزرا,",1
wayeeh serbia 9rit kano ki9tlo les muslims hhhhhhhhh mais daba mab9awch o lah o3lem,1
la façon bach kayflowi fih dik lfr7a dial lah wa akhiran l9it la rime 😭😭,0
raki f chahal mabantich wla rani ghalta,1
"بوعياش: الابتزاز الجنسي من جرائم الاتجار فالبشر ونسبة الاستغلال الجنسي وصلات لـ50 فالمية من مجموع هاد الجرائم عالميا ف2020,",1
أين الحكومة أين المؤسسات الاجتماعية أين الجمعيات التي أصبحت تسترزق على أبناء الشعب بدون تقديم أي شيء',2
عموته أحسن مدرب مغربي',0
dok rimat li kaylo7 ljassous fkroni f dak dessert w lkhdra li kayb9aw f l3chia dial sou9,1
شكرا أخي الخبر تم نشره صباح اليوم',0
والاقتطاعات من اجور الموظفين البسطاء و منحة البرلمانيين لانتهاء العهدة,2
sbah lkhir bety kent kanftar sbah ou tfakartek mazal kantssna f follow dyalek ghadi nktb lik kl nhar,0
بعد خسارة رئاسة الحكومة و خسارة الامانة العامة للحزب، نعلن رسميا نهاية مرحلة بن كيران السيئة',0
lllah akbar kabira wallah ajmale khabar sam3to fa hayati ana3lato llah 3la dalime,2
كل سنة شهداء بلا حساب حسبنا الله ونعم الوكيل',2
ya3tih l3az hit rajal jazayri 9ohh hada howa hna natmanaw yji 3andna n3amlo lih sti9bal wa3ar,0
الزاكي بحالو بحال بن شيخ الجزائري نفس العقلية',2
"جديد قضية تبديد فلوس عمومية اللي كيتحقق فيها مع 8 أشخاص بينهم مسؤولين وأطر أمنية.. كَاع المتهمين هبطو للحبس,",1
"تقرير : الجيش المغربي كيفاوض شركات عالمية باش يشري مدرعات عسكرية متطورة,",1
"ضربة خايبة لمرشحة اليمين المتطرف تزامنا مع الانتخابات الرئاسية ففرنسا.. المكتب الأوروبي لمكافحة الاحتيال: مارين لوبان فايت هرفات على 600 ألف أورو,",1
"ضربات الدبلوماسية المغربية دارت زلزال فعدد من مناصب المسؤولية فالدزاير.. جراو على 16 مسؤول فالخارجية ولونصاو حركة تعيينات جديدة,",1
nas dial jihawi ra ha kadbin elina daro lina labe9 zeema jam3in lwra9 bash il9aw bash ichwiw ryossa nhar l3id,2
trans almou nta w zhrak t9dar tti7 f wa7d jdid 7ssan mn ctm c+ o t9dar tti7 f wa7d kfass mn trans kam 7ni9za 😅,1
nta machi m3ana 7na lghlade ga3 😤,2
اكثر من مجرد نادي',0
كنشوف بزاف ديال التعاليق ان مزال الناس فيهم الخير...را اكتريا ديال المغاربة فيهم الخير وباقي الخير',0
z3ma chkoun li baghi yt3lm l arabe,1
💞اﻹنسانية محبة وسﻻم وعيش مشترك لجميع',0
hdana hhhhhhhh wa mn chhal hadi chi 5 ans,1
mabrouk 3 l clip samo helo ktir,0
شخصيا لا ارى اي منظر خلاب كل ما يظهر قلة التنظيم و عشوائية المكان. اناس همهم هو الربح و الجودة و النظافة في خبر كان. بعض الثلوج فوق التراب في منطقة منكوبة ',2
ana makanchouf hta 3enza hit bloc howa ssilahi oila derto bhali ghathenaaw,2
رحم الله الفنان العبقري الراحل عبـد الحــليم حافظ الذي قل نظيره في زمن الرداءة والتسيب المقصود والممنهج في وطننا لاكلمات لالحن يشفيان غليل ذوقنا اليتيم، فاقد الشيئ لايعطيه',2
كلام عظيم',0
الصوت الجميل',0
الحمد لله الذي اغاثنا على قدر بنيتنا التحتية. ',0
ah 3lach mafkhbarkch rah ta3i rah a=9ad a3dara man andar goliha tjarab tji bach ntlagaw liha had bab lmatar blhrawat hawajhi ok,2
l2oghnia dyal chawki w souka m3ahom fiha two tone wa9ila p hadchi li ban lia w lah a3lam ^^,1
"قيادة جديدة لـ”البام” فالحي الحسني فكازا,",1
"أحداث “دورة 7 فبراير” فجماعة فاس.. القضاء كيساين جواب دفاع العمدة البقالي قبل الحسم فهاد الضوصي,",1
سياسية من الدرجة الاولى,0
اوا سيرو تخدموا راكوم كتحيدو الدم لعباد الله فالعام والخاص ماكاتحشموش ',2
chno logiciel li katkhedmi bih bghit ta ana ndir tasamim,1
الشيخ ياسين عاش رجلا نزيها فاضلا زاهدا مستقيما ومات على ذلك فهو أهل للاقتداء،',0
ماكان ترامب ليأخذ هذا القرار لولا الضوء الاخضر من بعض حكام العرب وخاصة محمود عباس والمحيطين به وبذلك يكون قد عرى عوراتهم ',2
ou wahed lhaja omggg daba ana je parle pas souvent a aym ou hua kan baghi iakhed dftari while knt kan3red l9or2an ou ou 3iyet,1
العدالة و التنمية إنشاء لله,0
ychedha lik ywsaa lik said,1
hhhhhhhh haja limatchbeh molaha hraaam hhhhhh iwa khassna ghir nberdo bhal ibtissam,1
من دابا البرنامج ديال الحكومة المقبلة مسطر !!!!! ماجدوى الانتخابات اذا ؟؟؟؟!!!!!!,2
dakchi dyal khfif drif p,0
where are those 😍😍😚 kanchofo ghir 9a3 d tanjra hnaya w 3ad zaydinha benefkha 😒😒😒,2
ghir ntssadro rej3o emails lisaybna nssawto bihom i f face bdina hamla kanhelo les emails,1
nsite a samira lbare7 kente f paris 😂😂 3nd jada 😷😂😷 w rada ranmchi l souide 🔫🔫💣 w f ljomo3a r nmchi l ksa nzidek wla brak🙇,1
avec la canicule rah lwahed tay doub,1
allah ywaf9ak wysahal 3lik ya rab,0
"نهار قبل وصول وزير خارجية الصبليون للمغرب. افتتاح جوج قنصليات فالداخلة لدول امريكا الجنوبية وافريقية,",1
ihaaab nta tstaleel la9ab o nta charaftii l maghreeb tkp pas hna mftakhriin biiik wlah ila raak charaf l mdint asefi kan7ma9 3lik,0
كلنا بنكيران وكلنا معك,0
daba nti mghribya bezaf 3lik akhti tgouliha wakha bdehk o had lmra bagha tm3ch9i f habib l9alb diriha mais b3id 3la hanane ok,2
bb sawti m3ana hna plz hahya tari9a,1
نبيلة منيب هي لبيدها الحل [[PHOTO]],0
قلبي دليلي وقلبي عليكم إنّدل',0
فخر بلادي الف مليون مبروك يا ابو مكه تستحقها باكتساح لا منافس لك انت فخر مصر والعرب بنحبك بجد ربنا يوفقك ',0
الفضائح بالجملة وبالعملة الصعبة في كل المجالات!!! ',2
"“إل باييس” : الشركات ف جزر الكناري خايفة من قوة تنافسية الشركات المغربية,",1
الخزي والعار لهاته الحكومة التي تغلط العالم والمغاربة عبر تضليل الرأي العام بإنجازات وهمية والشعب يعيش تحتت عتتبة الفقر,2
mskin o hwa mnin 9aliha bla terbaya bla akhla9 mslahjya ananya matjrhatch ach ngoulikom lah y3tikom l3z ama dl rakom fih,2
eih sabab l9araratmana tkoun a7walik bikheeromatkonch haja khayba hiya li 2adit li ha l9arar,0
tfo kon ghir knt lpharamacie 7ala dak nhar,1
"عائلة بنصالح ستحودات على “مصرف المغرب”. شراتو من الفرانسيس,",1
7ta ntl3 l tanger w njibalk,1
charaff liya khtii abi ikhalikk,0
انا أحب دين الأسلام وأستمع للعلماء المسلمون',0
نطلب لك التوفيق والنجاح من عند الله. الشيء الذي لا نفهمه هو لماذا الدولة لا تهتم بشؤون أصحاب الاحتياجات الخاصة في النقل ودخل شهري يحفظ لهم كرامتهم ويعوض لهم مكانتهم وحقهم داخل هذا الوطن.',2
ذنوب المتقاعدين اللي زدت عليهم تلات سنوات بلا حق ظلما وعدوانا لن نسامحك',2
sadmati f anis aktar min wasim lboldan kolha mtahda ela lmghreb l3arabi,1
en plus hna ma3ndna ta haja dad chi hd kolhum mgharba btissam chj3naha o ba9in m3aha o lokhrin lah y3awnhum twfi9,1
merci habibti lea wallah mafi menak kelek akhla9 wtiba mabtinsa hada batmanalek kel najah bmot fik ana,0
"“البسيج” دوزو شخص للوكيل العام فسطات كان كيشري المسروقات ديال عصابة “الكيلو” اللي رونوها شفرة وكانو قتلو تاجر فحد السوالم  ف2015,",1
hbiba achno kalimat oghniya bghit nssma3 lihaa,1
هنيئا لكم يا شعب المغرب الحبيب بالفنان الرائع سعد لمجرد',0
اللاعب غير مُقيد في لائحة الأساسية للفريق',2
non matkatbo lih walo aslan howa ma3arf walo w rah rj3at lih follow bla matkbroha,1
hbiban caad cv 3lik db librak trnii fa3rsooo chno ydiir blizz jwb ila kan 3ndak chi wa9ttt,0
plz matdwiha 7ta f chi wa7d ila mtaf9in khliwna n3awno wakha hi bretwet,1
حتى ولو فاز البيجدي فلن يستطيع تشكيل حكومة منسجمة وسيتم حجب الثقة عنها,2
فاش كنا كنخرجو 😂,1
حقيقة مرة لهذا أطالب و نطالب محاربة هذا الفكر بالإقتصاد و الدين و الإعلام',2
الف مبررروك يانجم النجوم 🌟 المغرب الأول العالمي الدوزي💖 يارب من نجاح لنجاح',0
والله واخا تبكيهم دم يا اكبر اناني ومتعنت ومتعجرف عرفته حكومة المغرب,2
يا بني ، لقد فاتك القطار ، كونا منتخب بدونك وحتي وإن انهزم فلا بأس. ',2
دولة اللصوص ملايير تنفق من اجل تشجييع الفساد حسابكم عند الله',2
iwa siri hta tsam3ih mzyan rah 3douya li kayhdar ou yhkam bla mayssma3 ok,2
wach katntadri mna nssaf9ou liik chej3iha f tissaaaa3 madam baghana n3tiwk tissaaaaaaaaaaaaaaa3,1
"“نفاق” الشيخ عويطة لي نشط انطلاقة “فرصة”. آراء متطرفة ضد مؤسسات الدولة واتهم وزارة الأوقاف بخدمة البام فالانتخابات وسب الاحرار وشكك فقدرات الاجهزة الأمنية وشبه اخنوش بالسيسي ودافع على تركيا ضد بلادو,",1
أصدق سياسي مغربي مر على الحكومات المتعاقبة ..',0
الخبيثات للخبيثين',2
"روشيرشي من الأنتربول بقا سالت حتى عيا وطاح فالمغرب,",1
ghada l bety o katwassi fiyaa gheda ghanfay9k bekriisa3a m3amn hhh,1
نحن شباب مغاربة في الغربة متعاطفين مع حزب العدالة و التنمية كلنا أمام التلفاز ننتضر بشوق هدا اللقاء التلفزيوني وفقك الله دولة الرئيس',0
aaah eraft lghunia mais makan3rafshi bli hada l3unwan diala😂😂,1
أطلب من العلي القدير أن ينتقم من هؤلاء الناس المسؤولين في الدنيا قبل الاخرة. أم الاخرة فلا مناص منها عند العلي القدير ',2
aw safi khali hada daba taf9o 3la hada li ktabti,1
hada lidar hadchi ollah ta ghayt3deb f l9br hhhhh,1
wlah ya babaha wojat nlemaghrib ya7ta ndiroliha 3aha mosetadima bach nweriwha mgharba chkaysewaw,2
"“الأو سي بي” جنبات المغرب تعديل قانون المالية وعتقات ميزانية الدولة وضخات 8.1 مليار درهم فالخزينة,",1
awal soal kanjawb 3lih khatae o marbaht ta no9taaa hhh,1
حديقة حيوانات ولازال هنالك اناس لا يؤمنون بنظرية التطو',2
"الدق فالبوليس متواصل من حموشي على اللي كيفرطو فتطبيق القانون فالسربيس.. توقيف مفتش شرطة ممتاز والتحقيق مع أمنيين وها علاش,",1
"لجنة العدل والتشريع مدافعة على الحريات الفردية: خاص تعزيزها وحمايتها باش يكون مناخ الثقة,",1
"ألباريس: كنارياس غيكون عندها ممثل فمفاوضات ترسيم الحدود البحرية مع المغرب,",1
يا لروعه كلامك ...لك تحياتي .....اتمنى من جميع ان يأخذوا كلامك عبر للحياة ....للسير نحو',0
"هادي أجندة وزير خارجية مريكان لي جاي للمغرب وغادي يتلقا محمد بنزايد ويدوز للجزائر,",1
ratb9a dima mghribya hadi 9adyat hayat aw mawt bnssba lmgharba,1
"خليهن منسق مجموعة “السي دي تي” فمجلس المستشارين لـ”كَود”: الأغلبية الحكومية ماقدراتش على تجيري هاد المرحلة وكاينة روينة فتدبير ملف التعليم,",1
yemkan ma baghachi sol7 ana hdartlek 3la hadok li ma3andomchi prbl o ana ma3andich mochkil m3a ihab 3andi m3a hadok li,2
"جايبها من لاس بالماس.. الديوانة حجزات أكثر من 3000 قرقوبية عند مسافر فمطار العيون – تصاور,",1
واش بغيتوهم يبداو يتكرفسو على العادي والبادي عاد تبقاو أنتما على خاطر خاطركم ',2
asgass ambarki awltma koul 3am w nti b alff 5ir inchaallah ♥♡,0
ولكن كولشي على الاعلام الي كيصور اوروبا في الافلام على انها ',2
الفقراء يموتون بسبب وسائل النقل.تريبورتور.الحافلات المتلاشية.اصبح الناس يركبون بسطوح الحافلات.ايامكم كحلة زحلة.',2
monkar ntouma li dartouh ya wjah lwil li kathadro f sahra li aslan ma3roufa maghribiya w mali nchart had tweet ya3ni m3tarfa bh,2
غش في غش كلشي مغشوش بديت نشك الي كان شي حد في المغرب كيخدم بنزاهة وضمير كنضن قليل الي من رحم ربي',2
😂😂😂 oui zayan boys ola chi haja bhal haka,1
"بينتر وصلات لفاس. خط جديد من كنارياس للعاصمة العلمية,",1
